wavelength / nm;Absorption cross section 1/m²;Emission cross section 1/m²;;;;
809;3,761709855E-27;3,33867E-32;;;;
809,2;3,830767142E-27;3,48651E-32;;;;
809,4;3,900896735E-27;3,6406E-32;;;;
809,6;3,972111443E-27;3,80117E-32;;;;
809,8;4,044424163E-27;3,96849E-32;;;;
810;4,117847869E-27;4,14283E-32;;;;
810,2;4,192395624E-27;4,32447E-32;;;;
810,4;4,268080568E-27;4,51369E-32;;;;
810,6;4,344915927E-27;4,7108E-32;;;;
810,8;4,422915005E-27;4,91611E-32;;;;
811;4,502091186E-27;5,12993E-32;;;;
811,2;4,582457934E-27;5,35261E-32;;;;
811,4;4,664028790E-27;5,58449E-32;;;;
811,6;4,746817375E-27;5,82594E-32;;;;
811,8;4,830837385E-27;6,07732E-32;;;;
812;4,916102592E-27;6,33902E-32;;;;
812,2;5,002626843E-27;6,61144E-32;;;;
812,4;5,090424059E-27;6,895E-32;;;;
812,6;5,179508233E-27;7,19013E-32;;;;
812,8;5,269893433E-27;7,49728E-32;;;;
813;5,361593794E-27;7,8169E-32;;;;
813,2;5,454623525E-27;8,14948E-32;;;;
813,4;5,548996902E-27;8,49551E-32;;;;
813,6;5,644728268E-27;8,85551E-32;;;;
813,8;5,741832034E-27;9,23E-32;;;;
814;5,840322678E-27;9,61955E-32;;;;
814,2;5,940214740E-27;1,00247E-31;;;;
814,4;6,041522825E-27;1,04461E-31;;;;
814,6;6,144261599E-27;1,08843E-31;;;;
814,8;6,248445790E-27;1,134E-31;;;;
815;6,354090186E-27;1,18138E-31;;;;
815,2;6,461209633E-27;1,23064E-31;;;;
815,4;6,569819032E-27;1,28185E-31;;;;
815,6;6,679933344E-27;1,33508E-31;;;;
815,8;6,791567581E-27;1,39041E-31;;;;
816;6,904736810E-27;1,44791E-31;;;;
816,2;7,019456149E-27;1,50768E-31;;;;
816,4;7,135740767E-27;1,56978E-31;;;;
816,6;7,253605881E-27;1,63431E-31;;;;
816,8;7,373066756E-27;1,70135E-31;;;;
817;7,494138703E-27;1,77101E-31;;;;
817,2;7,616837077E-27;1,84337E-31;;;;
817,4;7,741177277E-27;1,91853E-31;;;;
817,6;7,867174742E-27;1,99659E-31;;;;
817,8;7,994844953E-27;2,07767E-31;;;;
818;8,124203427E-27;2,16187E-31;;;;
818,2;8,255265719E-27;2,2493E-31;;;;
818,4;8,388047418E-27;2,34008E-31;;;;
818,6;8,522564149E-27;2,43433E-31;;;;
818,8;8,658831565E-27;2,53218E-31;;;;
819;8,796865353E-27;2,63375E-31;;;;
819,2;8,936681226E-27;2,73918E-31;;;;
819,4;9,078294924E-27;2,8486E-31;;;;
819,6;9,221722214E-27;2,96217E-31;;;;
819,8;9,366978883E-27;3,08001E-31;;;;
820;9,514080742E-27;3,2023E-31;;;;
820,2;9,663043621E-27;3,32917E-31;;;;
820,4;9,813883368E-27;3,4608E-31;;;;
820,6;9,966615847E-27;3,59736E-31;;;;
820,8;1,012125694E-26;3,73901E-31;;;;
821;1,027782253E-26;3,88593E-31;;;;
821,2;1,043632853E-26;4,03832E-31;;;;
821,4;1,059679085E-26;4,19635E-31;;;;
821,6;1,075922540E-26;4,36022E-31;;;;
821,8;1,092364811E-26;4,53015E-31;;;;
822;1,109007490E-26;4,70633E-31;;;;
822,2;1,125852171E-26;4,88898E-31;;;;
822,4;1,142900446E-26;5,07833E-31;;;;
822,6;1,160153908E-26;5,2746E-31;;;;
822,8;1,177614150E-26;5,47804E-31;;;;
823;1,195282762E-26;5,68888E-31;;;;
823,2;1,213161336E-26;5,90739E-31;;;;
823,4;1,231251462E-26;6,13381E-31;;;;
823,6;1,249554728E-26;6,36843E-31;;;;
823,8;1,268072723E-26;6,61151E-31;;;;
824;1,286807031E-26;6,86334E-31;;;;
824,2;1,305759238E-26;7,12422E-31;;;;
824,4;1,324930926E-26;7,39445E-31;;;;
824,6;1,344323675E-26;7,67434E-31;;;;
824,8;1,363939064E-26;7,96422E-31;;;;
825;1,383778667E-26;8,26443E-31;;;;
825,2;1,403844059E-26;8,57529E-31;;;;
825,4;1,424136810E-26;8,89717E-31;;;;
825,6;1,444658487E-26;9,23044E-31;;;;
825,8;1,465410654E-26;9,57546E-31;;;;
826;1,486394874E-26;9,93263E-31;;;;
826,2;1,507612702E-26;1,03023E-30;;;;
826,4;1,529065694E-26;1,0685E-30;;;;
826,6;1,550755400E-26;1,1081E-30;;;;
826,8;1,572683366E-26;1,14909E-30;;;;
827;1,594851134E-26;1,1915E-30;;;;
827,2;1,617260243E-26;1,23539E-30;;;;
827,4;1,639912226E-26;1,28079E-30;;;;
827,6;1,662808612E-26;1,32777E-30;;;;
827,8;1,685950926E-26;1,37636E-30;;;;
828;1,709340688E-26;1,42663E-30;;;;
828,2;1,732979413E-26;1,47862E-30;;;;
828,4;1,756868610E-26;1,53239E-30;;;;
828,6;1,781009785E-26;1,588E-30;;;;
828,8;1,805404435E-26;1,64551E-30;;;;
829;1,830054057E-26;1,70497E-30;;;;
829,2;1,854960137E-26;1,76645E-30;;;;
829,4;1,880124160E-26;1,83001E-30;;;;
829,6;1,905547601E-26;1,89571E-30;;;;
829,8;1,931231934E-26;1,96364E-30;;;;
830;1,957178624E-26;2,03384E-30;;;;
830,2;1,983389130E-26;2,1064E-30;;;;
830,4;2,009864906E-26;2,18139E-30;;;;
830,6;2,036607401E-26;2,25888E-30;;;;
830,8;2,063618057E-26;2,33895E-30;;;;
831;2,090898308E-26;2,42169E-30;;;;
831,2;2,118449586E-26;2,50716E-30;;;;
831,4;2,146273313E-26;2,59547E-30;;;;
831,6;2,174370907E-26;2,68668E-30;;;;
831,8;2,202743780E-26;2,7809E-30;;;;
832;2,231393337E-26;2,87822E-30;;;;
832,2;2,260320977E-26;2,97872E-30;;;;
832,4;2,289528094E-26;3,08251E-30;;;;
832,6;2,319016074E-26;3,18969E-30;;;;
832,8;2,348786299E-26;3,30035E-30;;;;
833;2,378840145E-26;3,4146E-30;;;;
833,2;2,409178982E-26;3,53256E-30;;;;
833,4;2,439804173E-26;3,65432E-30;;;;
833,6;2,470717078E-26;3,78001E-30;;;;
833,8;2,501919049E-26;3,90975E-30;;;;
834;2,533411435E-26;4,04364E-30;;;;
834,2;2,565195578E-26;4,18182E-30;;;;
834,4;2,597272816E-26;4,32441E-30;;;;
834,6;2,629644483E-26;4,47154E-30;;;;
834,8;2,662311906E-26;4,62335E-30;;;;
835;2,695276412E-26;4,77997E-30;;;;
835,2;2,728539318E-26;4,94154E-30;;;;
835,4;2,762101943E-26;5,10821E-30;;;;
835,6;2,795965599E-26;5,28012E-30;;;;
835,8;2,830131596E-26;5,45744E-30;;;;
836;2,864601240E-26;5,64031E-30;;;;
836,2;2,899375835E-26;5,82889E-30;;;;
836,4;2,934456684E-26;6,02335E-30;;;;
836,6;2,969845085E-26;6,22386E-30;;;;
836,8;3,005542338E-26;6,43058E-30;;;;
837;3,041549740E-26;6,64371E-30;;;;
837,2;3,077868587E-26;6,86342E-30;;;;
837,4;3,114500175E-26;7,08989E-30;;;;
837,6;3,151445802E-26;7,32332E-30;;;;
837,8;3,188706765E-26;7,56391E-30;;;;
838;3,226284363E-26;7,81185E-30;;;;
838,2;3,264179895E-26;8,06736E-30;;;;
838,4;3,302394666E-26;8,33064E-30;;;;
838,6;3,340929980E-26;8,60191E-30;;;;
838,8;3,379787148E-26;8,8814E-30;;;;
839;3,418967483E-26;9,16932E-30;;;;
839,2;3,458472303E-26;9,46593E-30;;;;
839,4;3,498302934E-26;9,77145E-30;;;;
839,6;3,538460705E-26;1,00861E-29;;;;
839,8;3,578946955E-26;1,04102E-29;;;;
840;3,619763029E-26;1,0744E-29;;;;
840,2;3,660910281E-26;1,10877E-29;;;;
840,4;3,702390075E-26;1,14416E-29;;;;
840,6;3,744203784E-26;1,1806E-29;;;;
840,8;3,786352795E-26;1,21811E-29;;;;
841;3,828838504E-26;1,25673E-29;;;;
841,2;3,871662323E-26;1,29649E-29;;;;
841,4;3,914825674E-26;1,33741E-29;;;;
841,6;3,958329999E-26;1,37953E-29;;;;
841,8;4,002176754E-26;1,42288E-29;;;;
842;4,046367409E-26;1,46749E-29;;;;
842,2;4,090903458E-26;1,5134E-29;;;;
842,4;4,135786411E-26;1,56063E-29;;;;
842,6;4,181017799E-26;1,60923E-29;;;;
842,8;4,226599174E-26;1,65924E-29;;;;
843;4,272532112E-26;1,71067E-29;;;;
843,2;4,318818214E-26;1,76359E-29;;;;
843,4;4,365459105E-26;1,81802E-29;;;;
843,6;4,412456437E-26;1,874E-29;;;;
843,8;4,459811891E-26;1,93157E-29;;;;
844;4,507527177E-26;1,99078E-29;;;;
844,2;4,555604036E-26;2,05166E-29;;;;
844,4;4,604044241E-26;2,11427E-29;;;;
844,6;4,652849600E-26;2,17864E-29;;;;
844,8;4,702021954E-26;2,24481E-29;;;;
845;4,751563184E-26;2,31285E-29;;;;
845,2;4,801475207E-26;2,38278E-29;;;;
845,4;4,851759982E-26;2,45467E-29;;;;
845,6;4,902419508E-26;2,52855E-29;;;;
845,8;4,953455829E-26;2,60449E-29;;;;
846;5,004871032E-26;2,68253E-29;;;;
846,2;5,056667253E-26;2,76272E-29;;;;
846,4;5,108846675E-26;2,84512E-29;;;;
846,6;5,161411532E-26;2,92978E-29;;;;
846,8;5,214364111E-26;3,01676E-29;;;;
847;5,267706751E-26;3,10612E-29;;;;
847,2;5,321441848E-26;3,19792E-29;;;;
847,4;5,375571857E-26;3,29221E-29;;;;
847,6;5,430099290E-26;3,38906E-29;;;;
847,8;5,485026722E-26;3,48852E-29;;;;
848;5,540356793E-26;3,59067E-29;;;;
848,2;5,596092207E-26;3,69557E-29;;;;
848,4;5,652235736E-26;3,80328E-29;;;;
848,6;5,708790222E-26;3,91388E-29;;;;
848,8;5,765758578E-26;4,02743E-29;;;;
849;5,823143793E-26;4,144E-29;;;;
849,2;5,880948931E-26;4,26367E-29;;;;
849,4;5,939177132E-26;4,38651E-29;;;;
849,6;5,997831620E-26;4,51259E-29;;;;
849,8;6,056915700E-26;4,642E-29;;;;
850;6,116432761E-26;4,7748E-29;;;;
850,2;6,176386280E-26;4,91109E-29;;;;
850,4;6,236779823E-26;5,05094E-29;;;;
850,6;6,297617048E-26;5,19444E-29;;;;
850,8;6,358901705E-26;5,34166E-29;;;;
851;6,420637643E-26;5,49271E-29;;;;
851,2;6,482828807E-26;5,64766E-29;;;;
851,4;6,545479242E-26;5,80661E-29;;;;
851,6;6,608593099E-26;5,96966E-29;;;;
851,8;6,672174630E-26;6,13688E-29;;;;
852;6,736228200E-26;6,30839E-29;;;;
852,2;6,800758277E-26;6,48427E-29;;;;
852,4;6,865769448E-26;6,66463E-29;;;;
852,6;6,931266410E-26;6,84957E-29;;;;
852,8;6,997253977E-26;7,03919E-29;;;;
853;7,063737084E-26;7,2336E-29;;;;
853,2;7,130720787E-26;7,43291E-29;;;;
853,4;7,198210264E-26;7,63722E-29;;;;
853,6;7,266210820E-26;7,84665E-29;;;;
853,8;7,334727889E-26;8,06132E-29;;;;
854;7,403767033E-26;8,28133E-29;;;;
854,2;7,473333949E-26;8,50681E-29;;;;
854,4;7,543434467E-26;8,73787E-29;;;;
854,6;7,614074556E-26;8,97465E-29;;;;
854,8;7,685260322E-26;9,21726E-29;;;;
855;7,756998014E-26;9,46584E-29;;;;
855,2;7,829294023E-26;9,7205E-29;;;;
855,4;7,902154885E-26;9,98139E-29;;;;
855,6;7,975587287E-26;1,02486E-28;;;;
855,8;8,049598060E-26;1,05224E-28;;;;
856;8,124194191E-26;1,08028E-28;;;;
856,2;8,199382818E-26;1,10899E-28;;;;
856,4;8,275171234E-26;1,1384E-28;;;;
856,6;8,351566889E-26;1,16852E-28;;;;
856,8;8,428577394E-26;1,19936E-28;;;;
857;8,506210517E-26;1,23093E-28;;;;
857,2;8,584474190E-26;1,26326E-28;;;;
857,4;8,663376507E-26;1,29636E-28;;;;
857,6;8,742925729E-26;1,33024E-28;;;;
857,8;8,823130282E-26;1,36492E-28;;;;
858;8,903998760E-26;1,40042E-28;;;;
858,2;8,985539927E-26;1,43676E-28;;;;
858,4;9,067762718E-26;1,47395E-28;;;;
858,6;9,150676236E-26;1,512E-28;;;;
858,8;9,234289760E-26;1,55095E-28;;;;
859;9,318612742E-26;1,5908E-28;;;;
859,2;9,403654807E-26;1,63157E-28;;;;
859,4;9,489425757E-26;1,67329E-28;;;;
859,6;9,575935566E-26;1,71597E-28;;;;
859,8;9,663194390E-26;1,75963E-28;;;;
860;9,751212558E-26;1,80429E-28;;;;
860,2;9,840000576E-26;1,84997E-28;;;;
860,4;9,929569130E-26;1,89669E-28;;;;
860,6;1,001992908E-25;1,94448E-28;;;;
860,8;1,011109147E-25;1,99334E-28;;;;
861;1,020306752E-25;2,04332E-28;;;;
861,2;1,029586861E-25;2,09441E-28;;;;
861,4;1,038950633E-25;2,14666E-28;;;;
861,6;1,048399241E-25;2,20008E-28;;;;
861,8;1,057933879E-25;2,25469E-28;;;;
862;1,067555756E-25;2,31051E-28;;;;
862,2;1,077266099E-25;2,36758E-28;;;;
862,4;1,087066154E-25;2,42591E-28;;;;
